,age,weight_kg,preferred_foot,international_reputation,work_rate_encoded,Midfiled,Attack,Defence,Mentality
0,32,72,1,5,4,88.06666666666666,86.6,24.428571428571427,68.57142857142857
1,34,83,0,5,7,86.33333333333333,87.4,24.714285714285715,68.14285714285714
2,27,68,0,5,8,83.8,82.0,21.642857142857142,67.85714285714286
3,26,87,0,3,5,45.6,19.0,70.07142857142857,33.57142857142857
4,28,74,0,4,8,84.0,79.6,21.142857142857142,69.14285714285714
5,28,70,0,4,9,82.73333333333333,80.8,28.642857142857142,79.57142857142857
6,27,85,0,3,5,44.4,23.6,69.35714285714286,38.0
7,27,92,0,3,5,74.26666666666667,62.8,34.857142857142854,75.0
8,33,66,0,4,9,81.6,76.2,33.214285714285715,79.42857142857143
9,27,71,1,3,8,83.53333333333333,78.2,24.714285714285715,71.42857142857143
10,20,73,0,3,7,83.13333333333334,81.0,18.714285714285715,65.28571428571429
11,28,89,0,3,6,59.93333333333333,44.0,34.214285714285715,66.85714285714286
12,25,89,0,3,9,79.6,84.2,23.857142857142858,74.85714285714286
13,26,91,0,3,5,43.06666666666667,22.8,69.07142857142857,31.428571428571427
14,28,82,0,4,5,46.266666666666666,22.8,70.07142857142857,38.142857142857146
15,28,72,0,3,6,76.13333333333334,65.8,34.857142857142854,80.28571428571429
16,34,85,1,4,6,64.66666666666667,56.0,35.214285714285715,69.28571428571429
17,31,70,0,4,8,82.06666666666666,81.8,23.428571428571427,66.85714285714286
18,33,82,0,4,8,76.8,74.0,36.142857142857146,81.57142857142857
19,32,86,0,5,8,81.06666666666666,84.8,34.642857142857146,75.28571428571429
20,30,80,0,4,8,81.4,81.0,23.285714285714285,70.57142857142857
21,30,76,0,4,5,67.6,66.0,34.57142857142857,82.85714285714286
22,28,73,1,4,9,84.2,85.6,28.071428571428573,76.0
23,25,75,1,3,5,82.8,80.2,21.142857142857142,65.57142857142857
24,26,84,0,4,8,82.2,80.0,26.5,78.0
25,25,86,1,2,5,49.4,24.4,70.35714285714286,38.714285714285715
26,24,69,0,3,8,79.4,70.0,25.285714285714285,61.857142857142854
27,27,76,0,3,9,80.13333333333334,77.6,24.5,70.42857142857143
28,27,96,1,4,5,42.93333333333333,17.2,67.07142857142857,29.714285714285715
29,32,85,0,4,8,64.06666666666666,69.4,36.714285714285715,78.0
30,34,92,0,3,5,41.4,16.0,67.21428571428571,31.0
31,33,92,0,5,5,48.53333333333333,23.8,69.21428571428571,39.285714285714285
32,32,82,1,4,5,44.0,18.8,67.71428571428571,33.142857142857146
33,33,67,1,4,8,76.4,76.8,27.5,73.14285714285714
34,32,77,0,4,9,77.6,83.0,27.785714285714285,75.71428571428571
35,33,78,0,3,6,64.06666666666666,61.6,36.642857142857146,71.0
36,29,76,0,4,5,72.66666666666667,78.8,30.642857142857142,76.14285714285714
37,30,71,0,4,8,82.86666666666666,78.8,26.571428571428573,71.14285714285714
38,30,80,0,3,4,79.4,81.2,22.571428571428573,63.714285714285715
39,27,69,0,3,8,82.8,79.6,24.285714285714285,68.57142857142857
40,25,85,1,2,5,69.26666666666667,62.0,32.857142857142854,71.71428571428571
41,24,64,1,2,9,79.33333333333333,73.8,24.714285714285715,70.28571428571429
42,27,84,0,3,6,75.73333333333333,68.4,34.714285714285715,79.28571428571429
43,26,78,0,3,9,81.06666666666666,79.2,23.142857142857142,67.71428571428571
44,34,67,0,3,6,76.33333333333333,72.6,36.07142857142857,79.0
45,34,82,0,4,6,71.2,64.4,36.42857142857143,75.57142857142857
46,31,81,0,4,4,78.66666666666667,82.0,22.571428571428573,70.57142857142857
47,32,86,1,3,9,71.53333333333333,67.8,35.714285714285715,76.57142857142857
48,32,61,0,3,7,79.8,71.4,24.0,64.28571428571429
49,30,94,0,4,8,66.86666666666666,69.4,34.785714285714285,77.42857142857143
50,30,81,0,3,5,70.26666666666667,61.6,36.57142857142857,74.14285714285714
51,30,68,1,3,8,79.46666666666667,74.8,34.357142857142854,76.57142857142857
